abstain_tokens,aye_tokens,delegates,is_active,last_vote_time,nay_tokens,support_ratio_pct,total_tokens_cast,total_votes,voter,voter_name,voter_type
0.0,0.0,,True,2025-01-13 16:02:12.000 UTC,0.0,0.0,0.0,1,112FxPiwvTVPZxTaQxVRu1TAaJ9Ek9uNsoGcFjpxRArihCqH,112F...hCqH,Direct Voter
0.0,1.0,,True,2024-02-01 02:36:48.000 UTC,0.0,100.0,1.0,1,1LWb647vEr8Y5kLouTfYFsNKq2XcFEJDxon8B2f3sBs6ERX,1LWb...6ERX,Direct Voter
0.0,300000.0,,True,2024-09-05 14:31:12.000 UTC,0.0,100.0,300000.0,1,14TRFpWwdv2rNwofs2dcnVCqMpaCU3wKBM1nggJhoa52YbeT,14TR...YbeT,Direct Voter
0.0,0.0,,True,2025-02-26 14:08:18.000 UTC,0.0,0.0,0.0,1,13H9UQR5DUGnksusQHsEkHWUaY4wp3NVqvhzexG5m6k8aTQn,13H9...aTQn,Direct Voter
0.0,14.79,,True,2024-01-21 11:38:18.000 UTC,0.0,100.0,14.79,1,148LY6D8mHKZZpqarDxvYJSRmWQCH5qnVfznEh53HZMpdkXe,148L...dkXe,Direct Voter
0.0,25.0,,True,2024-11-30 09:33:18.000 UTC,0.0,100.0,25.0,1,13x6LG231e2MjfstmRNf4ytn12D1J4fW5uPgaWpNdSq6WWgx,13x6...WWgx,Direct Voter
0.0,16.0,,True,2024-11-29 16:45:42.000 UTC,0.0,100.0,16.0,1,15dn3DfvoGTM2LcG4ukALwW3EjZ4vuKZYqsf1Tscwi14gvVM,15dn...gvVM,Direct Voter
0.0,1.0,,True,2024-01-14 13:34:42.000 UTC,0.0,100.0,1.0,1,15PwA5HySZk7ofNiPdQPngkk9fpv8DLJUE8WS1yJMBjD3iCp,15Pw...3iCp,Direct Voter
0.0,0.1,,True,2024-12-07 21:59:06.000 UTC,0.0,100.0,0.1,1,1349XK4bGzKxyRVGcqMsVeaW9tTYH3pUJgG9bRLswRgGkV6k,1349...kV6k,Direct Voter
0.0,0.01,,True,2024-01-31 07:44:54.000 UTC,0.0,100.0,0.01,1,1WcumJuFLCLqC3g6FaaM5gvsrSx6hbh5B7FoP9JjnH7PCbq,1Wcu...PCbq,Direct Voter
0.0,0.0,,True,2024-04-08 12:54:24.000 UTC,0.01,0.0,0.01,1,11N2wfgn5rZqgGJjeyEPjLL5ZyatZ8nZ6f33wTBKDjemFH6,11N2...mFH6,Direct Voter
